iter	Passed	Remaining
315	2761	5978
316	2770	5968
317	2775	5952
318	2783	5943
319	2792	5933
320	2800	5923
321	2810	5918
322	2820	5911
323	2829	5902
324	2836	5890
325	2846	5886
326	2852	5870
327	2863	5866
328	2874	5862
329	2881	5849
330	2891	5844
331	2898	5832
332	2906	5821
333	2911	5805
334	2915	5788
335	2927	5785
336	2932	5768
337	2941	5760
338	2949	5750
339	2959	5745
340	2965	5731
341	2973	5720
342	2980	5708
343	2988	5699
344	2992	5680
345	2996	5664
346	3005	5655
347	3016	5651
348	3023	5639
349	3029	5626
350	3034	5611
351	3042	5600
352	3053	5595
353	3063	5589
354	3072	5582
355	3087	5584
356	3097	5579
357	3105	5568
358	3111	5555
359	3118	5543
360	3131	5542
361	3143	5540
362	3153	5533
363	3161	5523
364	3173	5520
365	3182	5513
366	3191	5504
367	3202	5499
368	3210	5489
369	3219	5482
370	3226	5470
371	3231	5455
372	3235	5438
373	3243	5428
374	3254	5423
375	3267	5422
376	3274	5411
377	3280	5398
378	3286	5384
379	3292	5371
380	3305	5369
381	3312	5358
382	3327	5360
383	3334	5349
384	3345	5343
385	3354	5335
386	3360	5323
387	3369	5314
388	3379	5308
389	3385	5295
390	3395	5288
391	3398	5271
392	3410	5268
393	3417	5256
394	3427	5249
395	3432	5235
396	3439	5224
397	3448	5216
398	3460	5212
399	3467	5201
400	3475	5191
401	3490	5191
402	3496	5179
403	3507	5174
404	3511	5158
405	3525	5158
406	3534	5149
407	3540	5137
408	3548	5127
409	3553	5113
410	3561	5103
411	3569	5094
412	3578	5086
